bath,balcony,price,total_sqft_float,bhk,sqrt_per_room,price_per_square
4.0,1.0,175.0,1200.0,4,300.0,14583.333333333334
4.0,1.0,325.0,2400.0,5,480.0,13541.666666666666
3.0,1.0,100.0,2000.0,3,666.6666666666666,5000.0
2.0,1.0,80.0,1056.0,2,528.0,7575.757575757576
3.0,2.0,140.0,1650.0,3,550.0,8484.848484848484
5.0,2.0,190.0,1200.0,5,240.0,15833.333333333334
3.0,3.0,240.0,2150.0,3,716.6666666666666,11162.790697674418
3.0,3.0,170.0,1750.0,3,583.3333333333334,9714.285714285714
3.0,1.0,270.0,2100.0,3,700.0,12857.142857142857
2.0,1.0,63.0,1145.0,2,572.5,5502.183406113537
4.0,3.0,345.0,4500.0,4,1125.0,7666.666666666667
3.0,1.0,65.0,1300.0,2,650.0,5000.0
4.0,1.0,80.0,10961.0,4,2740.25,729.8604141957851
5.0,2.0,138.0,1200.0,5,240.0,11500.0
2.0,1.0,70.0,900.0,2,450.0,7777.777777777777
3.0,2.0,240.0,2005.0,3,668.3333333333334,11970.074812967581
2.0,0.0,190.0,1567.2,3,522.4,12123.532414497193
2.0,2.0,150.0,1225.0,2,612.5,12244.897959183674
2.0,2.0,97.0,1269.0,2,634.5,7643.81402679275
3.0,3.0,140.0,1800.0,3,600.0,7777.777777777777
9.0,1.5843757375501535,500.0,4500.0,9,500.0,11111.111111111111
2.0,2.0,38.9,1070.0,2,535.0,3635.5140186915887
2.0,2.0,38.0,1080.0,2,540.0,3518.5185185185187
3.0,2.0,185.0,2401.0,3,800.3333333333334,7705.12286547272
3.0,2.0,185.0,2400.0,3,800.0,7708.333333333333
4.0,1.5843757375501535,333.0,3900.0,4,975.0,8538.461538461539
4.0,1.0,120.0,1550.0,4,387.5,7741.935483870968
2.0,2.0,56.0,1206.0,2,603.0,4643.449419568822
2.0,3.0,69.0,1312.0,2,656.0,5259.1463414634145
2.0,2.0,70.0,1270.0,3,423.3333333333333,5511.811023622047
4.0,2.0,205.0,1200.0,4,300.0,17083.333333333332
5.0,1.5843757375501535,205.0,1200.0,5,240.0,17083.333333333332
5.0,1.5843757375501535,205.0,1200.0,5,240.0,17083.333333333332
5.0,3.0,300.0,5100.0,6,850.0,5882.35294117647
1.0,1.0,300.0,1500.0,1,1500.0,20000.0
1.0,1.0,30.0,600.0,1,600.0,5000.0
1.0,1.0,23.5,552.0,1,552.0,4257.246376811594
2.0,2.0,60.0,1075.0,2,537.5,5581.395348837209
3.0,3.0,52.5,1150.0,2,575.0,4565.217391304348
2.0,1.0,62.8,1256.0,2,628.0,5000.0
2.0,2.0,63.0,1207.0,2,603.5,5219.552609776305
2.0,2.0,65.0,1390.0,2,695.0,4676.258992805755
2.0,1.0,62.8,1256.0,2,628.0,5000.0
2.0,0.0,48.0,1000.0,2,500.0,4800.0
2.0,2.0,57.0,1030.0,2,515.0,5533.980582524272
2.0,1.0,68.0,1200.0,2,600.0,5666.666666666667
2.0,2.0,61.8,1190.0,2,595.0,5193.27731092437
2.0,1.0,53.0,1080.0,2,540.0,4907.407407407408
2.0,2.0,54.0,1041.0,2,520.5,5187.319884726225
2.0,1.0,42.0,812.0,2,406.0,5172.413793103448
2.0,2.0,57.0,1010.0,2,505.0,5643.564356435643
2.0,2.0,60.0,1075.0,2,537.5,5581.395348837209
2.0,2.0,100.0,1725.0,3,575.0,5797.101449275362
2.0,1.0,75.0,1350.0,3,450.0,5555.555555555556
3.0,2.0,60.0,1240.0,3,413.3333333333333,4838.709677419355
3.0,3.0,75.0,1550.0,3,516.6666666666666,4838.709677419355
2.0,2.0,73.0,1450.0,3,483.3333333333333,5034.482758620689
4.0,1.0,228.0,2400.0,4,600.0,9500.0
5.0,1.5843757375501535,110.0,2500.0,5,500.0,4400.0
5.0,2.0,170.0,4000.0,5,800.0,4250.0
8.0,3.0,95.0,2500.0,7,357.14285714285717,3800.0
3.0,2.0,85.0,2000.0,3,666.6666666666666,4250.0
3.0,2.0,85.0,2000.0,3,666.6666666666666,4250.0
4.0,1.0,520.0,4000.0,4,1000.0,13000.0
4.0,2.0,255.0,2100.0,3,700.0,12142.857142857143
3.0,3.0,190.0,3200.0,4,800.0,5937.5
2.0,2.0,74.0,1192.0,2,596.0,6208.053691275168
2.0,3.0,80.0,1180.0,2,590.0,6779.661016949152
2.0,2.0,65.0,1140.0,2,570.0,5701.754385964912
2.0,1.0,63.0,1213.0,2,606.5,5193.734542456719
2.0,2.0,60.0,1216.0,2,608.0,4934.210526315789
2.0,1.5843757375501535,80.0,1460.0,2,730.0,5479.45205479452
2.0,3.0,75.0,1192.0,2,596.0,6291.946308724832
2.0,1.0,88.0,1280.0,2,640.0,6875.0
3.0,3.0,100.0,1645.0,3,548.3333333333334,6079.0273556231
3.0,3.0,131.0,1810.0,3,603.3333333333334,7237.5690607734805
2.0,2.0,135.0,1515.0,3,505.0,8910.89108910891
4.0,1.5843757375501535,250.0,3245.0,4,811.25,7704.160246533128
6.0,2.0,135.0,1650.0,8,206.25,8181.818181818182
2.0,1.0,110.0,1117.0,2,558.5,9847.806624888093
3.0,2.0,400.0,2350.0,3,783.3333333333334,17021.27659574468
3.0,2.0,400.0,3000.0,3,1000.0,13333.333333333334
3.0,1.0,660.0,4000.0,3,1333.3333333333333,16500.0
3.0,0.0,408.0,2400.0,3,800.0,17000.0
2.0,1.0,293.0,1903.0,3,634.3333333333334,15396.741986337362
3.0,1.0,528.0,3000.0,5,600.0,17600.0
5.0,3.0,130.0,600.0,6,100.0,21666.666666666668
1.0,2.0,47.0,750.0,1,750.0,6266.666666666667
1.0,1.0,60.0,1000.0,1,1000.0,6000.0
2.0,2.0,72.0,1080.0,2,540.0,6666.666666666667
2.0,1.0,82.0,1175.0,2,587.5,6978.723404255319
2.0,1.0,71.0,1050.0,2,525.0,6761.9047619047615
2.0,1.0,50.49,918.0,2,459.0,5500.0
2.0,2.0,69.0,980.0,2,490.0,7040.816326530612
2.0,2.0,72.0,1180.0,2,590.0,6101.6949152542375
2.0,1.0,83.0,1270.0,2,635.0,6535.433070866142
2.0,2.0,82.5,1175.0,2,587.5,7021.276595744681
2.0,2.0,73.0,1130.0,2,565.0,6460.1769911504425
2.0,1.0,50.0,1050.0,2,525.0,4761.9047619047615
2.0,1.0,87.0,1275.0,2,637.5,6823.529411764706
2.0,2.0,42.0,850.0,2,425.0,4941.176470588235
2.0,2.0,61.33,1236.0,2,618.0,4961.974110032363
2.0,2.0,53.0,1000.0,2,500.0,5300.0
2.0,1.0,59.0,1187.0,2,593.5,4970.513900589722
2.0,1.0,61.0,1000.0,2,500.0,6100.0
2.0,2.0,62.5,1200.0,2,600.0,5208.333333333333
2.0,1.0,70.65,1000.0,2,500.0,7065.000000000001
2.0,2.0,75.0,1080.0,2,540.0,6944.444444444444
2.0,2.0,65.0,1120.0,2,560.0,5803.571428571428
3.0,1.0,60.0,1100.0,2,550.0,5454.545454545455
2.0,0.0,68.0,1050.0,2,525.0,6476.190476190476
2.0,2.0,60.0,1000.0,2,500.0,6000.0
2.0,1.0,80.0,1270.0,2,635.0,6299.212598425197
2.0,2.0,50.0,990.0,2,495.0,5050.50505050505
2.0,1.0,60.0,1128.0,2,564.0,5319.148936170212
2.0,1.0,57.0,1140.0,2,570.0,5000.0
2.0,1.0,108.0,1530.0,2,765.0,7058.823529411765
2.0,1.0,100.0,1420.0,3,473.3333333333333,7042.2535211267605
2.0,1.0,95.0,1400.0,3,466.6666666666667,6785.714285714285
3.0,1.0,160.0,2225.0,3,741.6666666666666,7191.011235955056
2.0,1.0,100.0,1450.0,3,483.3333333333333,6896.551724137931
2.0,2.0,96.0,1420.0,3,473.3333333333333,6760.56338028169
3.0,2.0,120.0,1680.0,3,560.0,7142.857142857143
2.0,1.0,57.0,1050.0,3,350.0,5428.571428571428
3.0,2.0,65.0,1250.0,3,416.6666666666667,5200.0
2.0,2.0,110.0,1575.0,3,525.0,6984.126984126984
3.0,2.0,140.0,1850.0,3,616.6666666666666,7567.5675675675675
2.0,2.0,120.0,1575.0,3,525.0,7619.047619047619
3.0,2.0,120.0,1680.0,3,560.0,7142.857142857143
3.0,2.0,89.13,1300.0,3,433.3333333333333,6856.153846153846
3.0,2.0,100.0,1450.0,3,483.3333333333333,6896.551724137931
3.0,2.0,110.0,1650.0,3,550.0,6666.666666666667
3.0,2.0,117.0,1680.0,3,560.0,6964.285714285715
3.0,2.0,125.0,1680.0,3,560.0,7440.476190476191
2.0,2.0,100.0,1460.0,3,486.6666666666667,6849.315068493151
3.0,3.0,110.0,1650.0,3,550.0,6666.666666666667
3.0,3.0,125.0,1680.0,3,560.0,7440.476190476191
2.0,1.0,97.0,1460.0,3,486.6666666666667,6643.835616438356
3.0,3.0,120.0,1790.0,3,596.6666666666666,6703.91061452514
3.0,2.0,117.0,1680.0,3,560.0,6964.285714285715
2.0,1.0,95.0,1400.0,3,466.6666666666667,6785.714285714285
3.0,2.0,130.0,1800.0,3,600.0,7222.222222222223
3.0,2.0,125.0,1680.0,3,560.0,7440.476190476191
3.0,2.0,122.0,1680.0,3,560.0,7261.9047619047615
3.0,3.0,130.0,1680.0,3,560.0,7738.0952380952385
3.0,2.0,112.0,1680.0,3,560.0,6666.666666666667
2.0,1.0,76.0,1515.0,3,505.0,5016.501650165016
3.0,2.0,150.0,2095.0,3,698.3333333333334,7159.904534606205
3.0,1.0,145.0,1976.0,3,658.6666666666666,7338.056680161943
2.0,2.0,110.0,1600.0,3,533.3333333333334,6875.0
3.0,2.0,118.0,1765.0,3,588.3333333333334,6685.552407932011
2.0,2.0,88.0,1275.0,3,425.0,6901.9607843137255
2.0,1.0,102.0,1450.0,3,483.3333333333333,7034.482758620689
2.0,2.0,110.0,1575.0,3,525.0,6984.126984126984
2.0,1.0,57.0,1075.0,3,358.3333333333333,5302.325581395349
2.0,3.0,92.0,1680.0,3,560.0,5476.190476190476
2.0,1.0,102.0,1430.0,3,476.6666666666667,7132.867132867133
3.0,2.0,90.0,1420.0,3,473.3333333333333,6338.028169014085
4.0,0.0,150.0,3300.0,4,825.0,4545.454545454545
4.0,0.0,188.0,2503.0,4,625.75,7510.986815821015
7.0,1.5843757375501535,450.0,5080.0,6,846.6666666666666,8858.267716535433
6.0,3.0,300.0,2000.0,6,333.3333333333333,15000.0
6.0,1.0,300.0,1500.0,6,250.0,20000.0
1.0,1.0,31.0,500.0,1,500.0,6200.0
1.0,1.0,33.0,500.0,1,500.0,6600.0
2.0,0.0,54.005,1073.5,2,536.75,5030.740568234746
2.0,1.0,42.47,1062.0,2,531.0,3999.0583804143125
2.0,1.0,43.91,1098.0,2,549.0,3999.089253187614
2.0,2.0,38.0,1080.0,2,540.0,3518.5185185185187
2.0,2.0,34.5,1059.0,2,529.5,3257.790368271955
2.0,2.0,35.0,1080.0,2,540.0,3240.740740740741
2.0,1.0,42.47,1062.0,2,531.0,3999.0583804143125
2.0,1.0,39.33,1035.0,2,517.5,3800.0
2.0,1.0,40.9,909.0,2,454.5,4499.4499449945
2.0,2.0,36.94,1125.0,2,562.5,3283.5555555555557
2.0,1.0,43.55,1089.0,2,544.5,3999.0817263544536
2.0,1.0,43.55,1089.0,2,544.5,3999.0817263544536
2.0,3.0,62.0,1513.0,2,756.5,4097.818902842036
2.0,1.0,59.0,1298.0,2,649.0,4545.454545454545
2.0,0.0,44.0,1006.0,2,503.0,4373.75745526839
2.0,1.0,59.0,1245.0,2,622.5,4738.955823293173
2.0,3.0,80.0,1510.0,2,755.0,5298.013245033113
2.0,1.0,48.0,1046.0,2,523.0,4588.910133843212
3.0,1.0,80.0,1800.0,3,600.0,4444.444444444444
4.0,1.0,90.0,1900.0,3,633.3333333333334,4736.8421052631575
2.0,2.0,65.0,1605.0,3,535.0,4049.8442367601247
2.0,1.0,54.71,1368.0,3,456.0,3999.2690058479534
2.0,2.0,48.95,1224.0,3,408.0,3999.1830065359477
3.0,2.0,165.0,3300.0,3,1100.0,5000.0
2.0,2.0,51.83,1296.0,3,432.0,3999.2283950617284
2.0,3.0,50.75,1269.0,3,423.0,3999.211977935382
2.0,3.0,55.0,1500.0,3,500.0,3666.6666666666665
4.0,2.0,130.0,2700.0,4,675.0,4814.814814814815
4.0,3.0,92.0,2100.0,4,525.0,4380.952380952381
4.0,2.0,115.0,2600.0,4,650.0,4423.076923076923
5.0,2.0,75.0,1730.0,5,346.0,4335.260115606937
1.0,0.0,233.0,1410.0,2,705.0,16524.822695035462
2.0,1.0,135.0,1165.0,2,582.5,11587.982832618025
2.0,1.0,85.0,600.0,3,200.0,14166.666666666666
1.0,0.0,150.0,700.0,1,700.0,21428.571428571428
5.0,2.0,200.0,1000.0,4,250.0,20000.0
8.0,3.0,270.0,1200.0,9,133.33333333333334,22500.0
1.0,0.0,20.0,600.0,1,600.0,3333.3333333333335
2.0,1.0,50.0,1005.0,2,502.5,4975.124378109453
2.0,1.0,45.0,1035.0,2,517.5,4347.826086956522
2.0,1.0,56.0,1164.0,2,582.0,4810.996563573884
2.0,1.0,42.0,1005.0,2,502.5,4179.104477611941
2.0,1.0,50.0,1127.0,2,563.5,4436.557231588287
2.0,1.0,43.0,1005.0,2,502.5,4278.606965174129
2.0,0.0,37.0,835.0,2,417.5,4431.137724550898
2.0,0.0,27.0,660.0,2,330.0,4090.909090909091
2.0,2.0,71.0,1466.0,2,733.0,4843.110504774898
2.0,1.0,80.0,1480.0,2,740.0,5405.405405405405
2.0,1.0,52.36,1073.0,2,536.5,4879.77632805219
2.0,2.0,45.0,890.0,2,445.0,5056.179775280899
2.0,2.0,69.0,1331.95,2,665.975,5180.374638687638
2.0,2.0,85.0,1890.0,3,630.0,4497.354497354498
2.0,1.5843757375501535,93.0,1890.0,3,630.0,4920.6349206349205
2.0,2.0,88.0,1719.3,3,573.1,5118.362124120282
3.0,2.0,88.0,1780.0,3,593.3333333333334,4943.820224719101
2.0,2.0,58.0,1300.0,3,433.3333333333333,4461.538461538462
3.0,2.0,65.0,1571.0,3,523.6666666666666,4137.492043284532
4.0,3.0,290.0,5000.0,4,1250.0,5800.0
4.0,1.5843757375501535,300.0,5000.0,4,1250.0,6000.0
2.0,1.0,35.0,600.0,1,600.0,5833.333333333333
2.0,0.0,85.0,1500.0,1,1500.0,5666.666666666667
3.0,1.0,110.0,1150.0,4,287.5,9565.217391304348
4.0,1.0,110.0,1150.0,4,287.5,9565.217391304348
5.0,1.0,225.0,1200.0,5,240.0,18750.0
2.0,2.0,65.0,1199.0,2,599.5,5421.184320266889
2.0,2.0,55.0,1080.0,2,540.0,5092.592592592592
2.0,1.0,60.0,1308.0,2,654.0,4587.155963302752
2.0,1.0,55.0,1005.0,2,502.5,5472.636815920398
3.0,1.0,90.0,2000.0,3,666.6666666666666,4500.0
6.0,3.0,145.0,3000.0,7,428.57142857142856,4833.333333333333
2.0,1.0,46.79,1040.0,2,520.0,4499.038461538462
2.0,1.0,48.38,1075.0,2,537.5,4500.46511627907
2.0,2.0,85.0,1450.0,3,483.3333333333333,5862.068965517241
3.0,0.0,110.0,1936.0,3,645.3333333333334,5681.818181818182
2.0,2.0,80.0,1650.0,3,550.0,4848.484848484848
4.0,2.0,80.0,1200.0,3,400.0,6666.666666666667
2.0,3.0,41.94,1180.0,2,590.0,3554.237288135593
2.0,1.0,38.45,1100.0,2,550.0,3495.454545454546
2.0,1.0,38.49,1100.0,2,550.0,3499.090909090909
2.0,2.0,38.5,1100.0,2,550.0,3500.0
2.0,3.0,50.0,1310.0,3,436.6666666666667,3816.793893129771
2.0,2.0,30.0,765.0,1,765.0,3921.5686274509803
1.0,0.0,19.82,734.0,1,734.0,2700.272479564033
2.0,1.0,40.39,985.0,2,492.5,4100.507614213198
2.0,1.0,32.54,795.0,2,397.5,4093.0817610062895
2.0,1.0,41.82,1020.0,2,510.0,4100.0
2.0,1.0,40.39,985.0,2,492.5,4100.507614213198
2.0,1.0,32.54,795.0,2,397.5,4093.0817610062895
2.0,1.0,46.33,1130.0,2,565.0,4100.0
1.0,1.0,32.6,795.0,2,397.5,4100.62893081761
2.0,1.0,41.0,1000.0,2,500.0,4100.0
2.0,1.0,40.8,995.0,2,497.5,4100.5025125628135
2.0,1.0,40.8,1020.0,2,510.0,3999.9999999999995
2.0,1.0,45.0,1260.0,3,420.0,3571.4285714285716
6.0,2.0,68.0,2200.0,6,366.6666666666667,3090.909090909091
6.0,0.0,81.0,2500.0,6,416.6666666666667,3240.0
8.0,0.0,150.0,3000.0,8,375.0,5000.0
1.0,1.0,185.0,1140.0,2,570.0,16228.070175438597
7.0,0.0,410.0,2100.0,7,300.0,19523.809523809523
2.0,1.0,50.0,1270.0,2,635.0,3937.0078740157483
3.0,2.0,55.0,1495.0,3,498.3333333333333,3678.9297658862874
1.0,0.0,41.0,1260.0,1,1260.0,3253.968253968254
1.0,1.0,41.0,1260.0,1,1260.0,3253.968253968254
2.0,1.0,65.0,1201.0,2,600.5,5412.156536219817
3.0,2.0,120.0,1925.0,3,641.6666666666666,6233.766233766234
1.0,0.0,72.0,800.0,1,800.0,9000.0
1.0,0.0,120.0,1350.0,3,450.0,8888.888888888889
2.0,1.0,58.5,1100.0,2,550.0,5318.181818181818
2.0,0.0,51.0,1053.0,2,526.5,4843.304843304843
3.0,1.0,113.0,2250.0,3,750.0,5022.222222222223
2.0,1.0,47.8,967.0,2,483.5,4943.1230610134435
2.0,1.0,54.0,1070.0,2,535.0,5046.728971962617
2.0,1.5843757375501535,58.0,1280.0,2,640.0,4531.25
2.0,1.0,60.0,1280.0,2,640.0,4687.5
2.0,1.0,60.0,1280.0,2,640.0,4687.5
2.0,1.0,55.0,1126.0,2,563.0,4884.547069271758
2.0,1.0,52.0,1113.0,2,556.5,4672.057502246182
2.0,2.0,48.0,1100.0,2,550.0,4363.636363636364
2.0,2.0,66.0,1300.0,2,650.0,5076.923076923077
2.0,1.0,45.0,900.0,2,450.0,5000.0
3.0,3.0,85.1,1662.0,3,554.0,5120.336943441636
2.0,2.0,75.0,1410.0,3,470.0,5319.148936170212
2.0,2.0,80.0,1410.0,3,470.0,5673.758865248227
3.0,2.0,85.0,1662.0,3,554.0,5114.320096269555
3.0,2.0,85.5,1662.0,3,554.0,5144.404332129964
3.0,1.5843757375501535,95.0,1666.0,3,555.3333333333334,5702.280912364946
3.0,1.5843757375501535,90.0,1575.0,3,525.0,5714.285714285715
2.0,2.0,75.0,1430.0,3,476.6666666666667,5244.755244755244
2.0,3.0,73.0,1419.0,3,473.0,5144.46793516561
3.0,2.0,85.0,1690.0,3,563.3333333333334,5029.585798816568
4.0,2.0,93.0,1897.0,3,632.3333333333334,4902.477596204533
3.0,3.0,98.0,1884.0,3,628.0,5201.698513800425
3.0,2.0,85.0,1690.0,3,563.3333333333334,5029.585798816568
3.0,1.5843757375501535,90.0,1662.0,3,554.0,5415.162454873646
2.0,2.0,75.0,1420.0,3,473.3333333333333,5281.69014084507
4.0,2.0,100.0,1890.0,3,630.0,5291.005291005291
3.0,2.0,85.0,1690.0,3,563.3333333333334,5029.585798816568
4.0,2.0,95.0,1820.0,3,606.6666666666666,5219.780219780219
3.0,2.0,102.0,1896.0,3,632.0,5379.7468354430375
2.0,2.0,73.0,1421.0,3,473.6666666666667,5137.227304714989
4.0,2.0,95.0,1893.0,3,631.0,5018.489170628632
4.0,1.0,75.0,1080.0,4,270.0,6944.444444444444
2.0,1.0,55.0,1141.0,2,570.5,4820.333041191937
2.0,2.0,49.0,1280.0,3,426.6666666666667,3828.125
4.0,3.0,170.0,4000.0,4,1000.0,4250.0
1.0,1.0,40.0,595.0,1,595.0,6722.689075630252
2.0,1.0,50.0,1230.0,2,615.0,4065.040650406504
2.0,2.0,44.0,1145.0,2,572.5,3842.7947598253277
3.0,2.0,67.23,1519.0,3,506.3333333333333,4425.938117182357
3.0,2.0,70.39,1595.0,3,531.6666666666666,4413.166144200627
2.0,2.0,60.0,1205.0,2,602.5,4979.253112033195
2.0,1.0,75.0,1380.0,2,690.0,5434.782608695652
2.0,1.0,58.0,1320.0,3,440.0,4393.939393939394
6.0,0.0,130.0,2400.0,6,400.0,5416.666666666667
2.0,1.5843757375501535,43.79,1240.0,2,620.0,3531.451612903226
2.0,2.0,38.0,1050.0,2,525.0,3619.0476190476193
2.0,1.0,22.0,560.0,2,280.0,3928.5714285714284
1.0,1.0,20.0,530.0,1,530.0,3773.5849056603774
1.0,1.0,15.0,425.0,1,425.0,3529.4117647058824
2.0,1.0,55.0,975.0,2,487.5,5641.025641025641
